"from","to"
"ARHA","BLST"
"BLST","MUSI"
"BLST","HIST"
"ANTH","MUSI"
"ARHA","ASLC"
"ARHA","BLST"
"HIST","SWAG"
"ENGL","SWAG"
"ENGL","THDA"
"BLST","ENGL"
"BLST","SWAG"
"NEUR","PSYC"
"NEUR","PSYC"
"POSC","SWAG"
"ENGL","FAMS"
"BIOL","BIOL"
"EDST","PSYC"
"EDST","SOCI"
"EUST","SPAN"
"ARCH","FREN"
"AMST","ENGL"
"ASLC","HIST"
"ENGL","FAMS"
"ARHA","FAMS"
"ENST","SOCI"
"HIST","POSC"
"BLST","MUSI"
"ASLC","HIST"
"ENST","GEOL"
"POSC","SWAG"
"ASLC","HIST"
"EDST","PSYC"
"MATH","STAT"
"ASLC","RELI"
"ASLC","FAMS"
"ASLC","HIST"
"ARCH","ARHA"
"ENGL","LLAS"
"LJST","SWAG"
"ENGL","FAMS"
"LLAS","SPAN"
"POSC","SWAG"
"EUST","HIST"
"ENGL","FAMS"
"ASLC","HIST"
"BIOL","NEUR"
"BLST","ENGL"
"MATH","STAT"
"ANTH","SOCI"
"ASLC","RELI"
"POSC","SWAG"
"ARCH","ARHA"
"ECON","STAT"
"ARCH","ARHA"
"ARHA","ASLC"
"ENGL","FAMS"
"CLAS","SWAG"
"ENGL","FAMS"
"EUST","HIST"
"ASLC","HIST"
"ENST","HIST"
"ENGL","FAMS"
"ARHA","FAMS"
"ENGL","RUSS"
"EUST","MUSI"
"BLST","RELI"
"EUST","HIST"
"ASLC","POSC"
"MATH","STAT"
"LLAS","SPAN"
"MATH","STAT"
"MATH","STAT"
"MATH","STAT"
"MATH","STAT"
"AMST","LLAS"
"AMST","ARHA"
"AMST","SOCI"
"AMST","SOCI"
"ANTH","ASLC"
"ANTH","MUSI"
"ARCH","ARHA"
"ARCH","ARHA"
"ARCH","ARHA"
"ARCH","ARHA"
"ARCH","ARHA"
"ARHA","LLAS"
"ARHA","FAMS"
"ARHA","ASLC"
"ARHA","CHEM"
"ARHA","FAMS"
"ARHA","ASLC"
"ARHA","BLST"
"ARHA","HIST"
"ASLC","FAMS"
"ASLC","RELI"
"ASLC","POSC"
"ASLC","HIST"
"ASLC","HIST"
"ASLC","HIST"
"ASLC","HIST"
"ASLC","FAMS"
"ASLC","RUSS"
"ASTR","PHYS"
"BCBP","BIOL"
"BIOL","CHEM"
"BIOL","CHEM"
"BIOL","ENST"
"BIOL","ENST"
"BIOL","NEUR"
"BIOL","NEUR"
"BIOL","CHEM"
"BLST","HIST"
"BLST","ENGL"
"BLST","RELI"
"BLST","FREN"
"BLST","POSC"
"BLST","ENGL"
"BLST","ENGL"
"BLST","ENGL"
"BLST","ENGL"
"BLST","HIST"
"BLST","MUSI"
"BLST","ENGL"
"BLST","THDA"
"BLST","SWAG"
"BLST","HIST"
"BLST","SOCI"
"ECON","ENST"
"EDST","LJST"
"EDST","PSYC"
"EDST","PSYC"
"EDST","POSC"
"EDST","POSC"
"EDST","PSYC"
"EDST","ENGL"
"EDST","ENGL"
"ENGL","THDA"
"ENGL","FAMS"
"ENGL","FAMS"
"ENGL","THDA"
"ENGL","FAMS"
"ENGL","FAMS"
"ENGL","FAMS"
"ENGL","EUST"
"ENGL","SWAG"
"ENGL","FAMS"
"ENGL","FAMS"
"ENGL","RELI"
"ENGL","SWAG"
"ENST","SOCI"
"ENST","HIST"
"ENST","SOCI"
"ENST","SOCI"
"ENST","PHIL"
"ENST","HIST"
"EUST","SPAN"
"EUST","HIST"
"EUST","HIST"
"EUST","RUSS"
"EUST","MUSI"
"EUST","HIST"
"EUST","FREN"
"FREN","SWAG"
"GERM","SWAG"
"HIST","SWAG"
"HIST","SWAG"
"HIST","RELI"
"LJST","SWAG"
"LLAS","POSC"
"LLAS","SPAN"
"LLAS","SPAN"
"LLAS","SPAN"
"LLAS","SPAN"
"MATH","STAT"
"MATH","STAT"
"MATH","STAT"
"MATH","STAT"
"MATH","STAT"
"MATH","STAT"
"MUSI","PHYS"
"NEUR","PSYC"
"NEUR","PSYC"
"NEUR","PSYC"
"PHIL","RELI"
"PHIL","RELI"
"POSC","SWAG"
"ARCH","EUST"
"BCBP","BIOL"
"ARCH","ARHA"
"AMST","ASLC"
"LLAS","SPAN"
"ASLC","EDST"
"BLST","ECON"
"ARHA","HIST"
"BLST","HIST"
"EUST","FAMS"
"EUST","HIST"
"AMST","LLAS"
"AMST","EDST"
"AMST","FAMS"
"BCBP","BIOL"
"BLST","ENGL"
"ARHA","EUST"
"AMST","EDST"
"AMST","BLST"
"AMST","EDST"
"AMST","EDST"
"AMST","EDST"
"AMST","BLST"
"AMST","EDST"
"AMST","EDST"
"ANTH","FAMS"
"ARCH","LLAS"
"ARCH","ARHA"
"ARCH","ARHA"
"ARCH","ARHA"
"ARCH","ARHA"
"ARHA","FAMS"
"ARHA","EUST"
"ASLC","HIST"
"ASLC","HIST"
"BLST","EUST"
"BLST","HIST"
"BLST","HIST"
"BLST","ENGL"
"EDST","LJST"
"ENGL","EUST"
"EUST","FAMS"
"EUST","HIST"
"ARCH","GERM"
"BCBP","CHEM"
"ARCH","BLST"
"AMST","HIST"
"LLAS","SWAG"
"ASLC","POSC"
"BLST","SWAG"
"ARHA","LLAS"
"BLST","LLAS"
"EUST","RUSS"
"EUST","RUSS"
"AMST","SOCI"
"AMST","SOCI"
"AMST","HIST"
"BCBP","NEUR"
"BLST","SWAG"
"ARHA","SWAG"
"AMST","SOCI"
"AMST","ENGL"
"AMST","SOCI"
"AMST","HIST"
"AMST","SOCI"
"AMST","ENGL"
"AMST","SWAG"
"AMST","SOCI"
"ANTH","MUSI"
"ARCH","SPAN"
"ARCH","LLAS"
"ARCH","EUST"
"ARCH","BLST"
"ARCH","EUST"
"ARHA","THDA"
"ARHA","SWAG"
"ASLC","POSC"
"ASLC","SWAG"
"BLST","SWAG"
"BLST","LLAS"
"BLST","RELI"
"BLST","SWAG"
"EDST","POSC"
"ENGL","RUSS"
"EUST","GERM"
"EUST","RUSS"
"EUST","GERM"
"BIOL","CHEM"
"ARHA","BLST"
"ASLC","HIST"
"SPAN","SWAG"
"EDST","POSC"
"ECON","SWAG"
"HIST","LLAS"
"HIST","LLAS"
"FAMS","RUSS"
"HIST","RUSS"
"LLAS","SOCI"
"EDST","SOCI"
"FAMS","HIST"
"BIOL","NEUR"
"ENGL","SWAG"
"EUST","SWAG"
"EDST","SOCI"
"BLST","ENGL"
"EDST","SOCI"
"EDST","HIST"
"EDST","SOCI"
"BLST","ENGL"
"EDST","SWAG"
"EDST","SOCI"
"FAMS","MUSI"
"LLAS","SPAN"
"ARHA","LLAS"
"ARHA","EUST"
"ARHA","BLST"
"ARHA","EUST"
"FAMS","THDA"
"EUST","SWAG"
"HIST","POSC"
"HIST","SWAG"
"EUST","SWAG"
"HIST","LLAS"
"HIST","RELI"
"ENGL","SWAG"
"LJST","POSC"
"EUST","RUSS"
"FAMS","GERM"
"HIST","RUSS"
"ARCH","ARHA"
"ANTH","POSC"
"BLST","HIST"
"AMST","EDST"
"EUST","FAMS"
"ARCH","EUST"
"ARHA","FAMS"
"BCBP","BIOL"
"FAMS","LLAS"
"ARCH","BLST"
"ANTH","SOCI"
"BLST","LLAS"
"AMST","HIST"
"EUST","SPAN"
"ARCH","FAMS"
"ARHA","MUSI"
"BCBP","CHEM"
"FAMS","SPAN"
"ARCH","EUST"
"ANTH","SWAG"
"BLST","SWAG"
"AMST","SOCI"
"EUST","SWAG"
"ARCH","GERM"
"ARHA","THDA"
"BCBP","PHYS"
"FAMS","SWAG"
"ARHA","BLST"
"POSC","SOCI"
"HIST","LLAS"
"EDST","HIST"
"FAMS","SPAN"
"EUST","FAMS"
"FAMS","MUSI"
"BIOL","CHEM"
"LLAS","SPAN"
"ARHA","EUST"
"POSC","SWAG"
"HIST","SWAG"
"EDST","SOCI"
"FAMS","SWAG"
"EUST","GERM"
"FAMS","THDA"
"BIOL","PHYS"
"LLAS","SWAG"
"BLST","EUST"
"SOCI","SWAG"
"LLAS","SWAG"
"HIST","SOCI"
"SPAN","SWAG"
"FAMS","GERM"
"MUSI","THDA"
"CHEM","PHYS"
"SPAN","SWAG"
